"district","lat","lon"
"Siang district","28.1097051","95.1432068"
"West Karbi Anglong district","26.186085","93.5812692"
NA,NA,NA
"Sibsagar district","27.0030804","94.645035"
"Biswanath district","20.2586679","85.8487835"
"Hojai district","26.0016601","92.847737"
NA,NA,NA
NA,NA,NA
"Namsai","27.6692115","95.8644018"
"Palghar","19.6935581","72.7655184"
"Alipurduar","26.4918891","89.5271026"
"Panchsheel Nagar district","28.7474998","78.0651931"
"Sambhal","28.5903614","78.5717631"
"Prabudh Nagar district","19.9968951","73.7205707"
"Chhota Udaipur district","22.2844065","73.9359821"
"Mahisagar","23.1711262","73.5594128"
"Gir Somnath","21.0119385","70.7168469"
"Devbhoomi Dwarka district","22.1232327","69.3831079"
"Morbi district","22.8652145","70.9071236"
"Botad district","22.1704232","71.6684269"
"Aravalli","16.6315742","81.6048765"
NA,NA,NA
"South East Delhi","28.7040592","77.1024902"
"Shahdara","28.6987568","77.2925771"
"South West Khasi Hills","25.3258908","91.2506002"
"South West Garo Hills","25.5679372","90.2244662"
"East Jaintia Hills","25.3100768","92.4999918"
"West Jaintia Hills","25.5021272","92.341887"
"North Garo Hills","25.8986758","90.4879916"
"Sukma district","18.1334245","81.2518833"
"Kondagaon district","19.8469685","81.6035062"
"Gariaband district","20.6338593","82.0597816"
"Baloda Bazar district","21.5913746","82.4752757"
"Balod district","20.7750288","81.2518833"
"Bemetara district","21.6894372","81.5596427"
"Mungeli district","22.1716221","81.734942"
"Balrampur district","27.4308339","82.3017728"
"Surajpur district","23.5027196","82.820974"
