"state","district","long","lat"
"jammu & kashmir","kupwara",74.1189692086,34.4283860101
"jammu & kashmir","badgam",74.6559682064,33.9137703027
"jammu & kashmir","leh (ladakh)",78.4135494156,34.2995670603
"jammu & kashmir","kargil",76.4169431437,33.9581219795
"jammu & kashmir","punch",74.2338748779,33.6650586906
"jammu & kashmir","rajauri",74.359132667,33.2330598283
"jammu & kashmir","kathua",75.5656268592,32.5546223189
"jammu & kashmir","baramula",74.2529768264,34.0891725881
"jammu & kashmir","bandipore",74.8154623319,34.4836341381
"jammu & kashmir","srinagar",74.9311799107,34.1183164842
"jammu & kashmir","ganderbal",75.0427329832,34.2965642738
"jammu & kashmir","pulwama",75.0275503402,33.9458667526
"jammu & kashmir","shupiyan",74.8220439855,33.7411161122
"jammu & kashmir","anantnag",75.2912816746,33.8253219096
"jammu & kashmir","kulgam",74.857995088,33.6088461929
"jammu & kashmir","doda",75.6788683503,33.0849605876
"jammu & kashmir","ramban",75.1702895061,33.3250187456
"jammu & kashmir","kishtwar",75.9150608108,33.5456633765
"jammu & kashmir","udhampur",75.2697810266,32.8760258065
"jammu & kashmir","reasi",74.8333568607,33.2219189158
"jammu & kashmir","jammu ",74.6616925414,32.7797502875
"jammu & kashmir","samba",75.029530086,32.5771348881
"himachal pradesh","chamba",76.3668279288,32.6715860362
"himachal pradesh","kangra",76.3273383516,32.0914723943
"himachal pradesh","lahul & spiti",77.6275559369,32.4763288583
"himachal pradesh","kullu",77.4039023932,31.8972832593
"himachal pradesh","mandi",77.0000953624,31.624811428
"himachal pradesh","hamirpur",76.5391118232,31.6523036478
"himachal pradesh","una",76.223413631,31.5642405984
"himachal pradesh","bilaspur",76.6716823237,31.3571507182
"himachal pradesh","solan",76.9180921224,31.0351038266
"himachal pradesh","sirmaur",77.4348417489,30.662184886
"himachal pradesh","shimla",77.6359697613,31.1901404493
"himachal pradesh","kinnaur",78.4108734788,31.5911632788
"punjab","kapurthala ",75.4219356164,31.3382638226
"punjab","jalandhar",75.5752761833,31.2018967454
"punjab","hoshiarpur",75.8749802045,31.6124325399
"punjab","shahid bhagat singh nagar ",76.1576170873,31.0977349774
"punjab","fatehgarh sahib",76.3761080258,30.6447139247
"punjab","ludhiana",75.838872862,30.7959948022
"punjab","moga",75.1819139952,30.7572574323
"punjab","muktsar",74.5503549663,30.2702209338
"punjab","faridkot",74.78269876,30.600049276
"punjab","bathinda",75.0487390141,30.1719231835
"punjab","mansa",75.4471713313,29.8883480503
"punjab","patiala",76.3567781818,30.2814159339
"punjab","amritsar ",74.9228345822,31.6992825813
"punjab","tarn taran",74.856864616,31.3133829727
"punjab","rupnagar",76.4955508563,31.0506757285
"punjab","sahibzada ajit singh nagar",76.7473287192,30.6699115993
"punjab","sangrur",75.8725567215,30.2028046114
"punjab","barnala",75.5106634343,30.3796936229
"chandigarh","chandigarh",76.7779356632,30.7278896452
"uttarakhand","uttarkashi",78.6082219418,30.9643931624
"uttarakhand","chamoli",79.5856911819,30.4905352994
"uttarakhand","rudraprayag",79.0681117377,30.5092043845
"uttarakhand","tehri garhwal",78.5434645787,30.4362315756
"uttarakhand","dehradun",77.9716376472,30.4608494549
"uttarakhand","garhwal",78.7792241995,29.8803288641
"uttarakhand","pithoragarh",80.3592297791,30.0923893944
"uttarakhand","bageshwar",79.8647303291,29.9941360287
"uttarakhand","almora",79.5179386885,29.6865875265
"uttarakhand","champawat",80.0687696055,29.2801708831
"uttarakhand","nainital",79.4557865734,29.312632623
"uttarakhand","udham singh nagar",79.4819691122,29.035521989
"uttarakhand","hardwar",78.0071880974,29.8832252732
"haryana","panchkula",76.9789405847,30.6752112836
"haryana","ambala",76.9418774818,30.3157932891
"haryana","yamunanagar",77.3061724115,30.235794588
"haryana","kurukshetra",76.7869646807,30.0331719603
"haryana","kaithal",76.4174702468,29.8060119364
"haryana","karnal",76.8833988104,29.6830744547
"haryana","panipat",76.9297825592,29.3276052208
"haryana","sonipat",76.8800387453,29.0427357841
"haryana","jind",76.3165124135,29.4213067877
"haryana","fatehabad",75.5998054026,29.5565424139
"haryana","sirsa",74.909772878,29.5946147549
"haryana","hisar",75.8255425265,29.2033036106
"haryana","bhiwani",75.9780766849,28.7046805115
"haryana","rohtak",76.5346144993,28.8967952732
"haryana","jhajjar",76.656395396,28.5974319696
"haryana","mahendragarh",76.1544139375,28.1536783172
"haryana","rewari",76.5568898656,28.2313146071
"haryana","gurgaon",76.9525029498,28.3676661432
"haryana","mewat ",77.0528532835,27.9844963934
"haryana","faridabad",77.3458478038,28.3518433192
"haryana","palwal ",77.3382796558,28.0591567123
"rajasthan","ganganagar ",73.5702559657,29.3918272409
"rajasthan","hanumangarh",74.5593983101,29.2633912123
"rajasthan","bikaner",73.0808126235,28.185137002
"rajasthan","churu ",74.5760463776,28.2965394961
"rajasthan","jhunjhunun",75.5502528672,28.0924983289
"rajasthan","alwar",76.6064550195,27.5888211378
"rajasthan","bharatpur ",77.2799666403,27.2434326097
"rajasthan","dhaulpur",77.7030913155,26.6799916937
"rajasthan","karauli ",76.9535261982,26.5247712144
"rajasthan","sawai madhopur ",76.4635219849,26.2120213234
"rajasthan","dausa ",76.5082009551,26.8596414218
"rajasthan","jaipur ",75.716483403,26.9682878947
"rajasthan","sikar",75.2933668927,27.6337548473
"rajasthan","nagaur",74.1771777825,27.0646145531
"rajasthan","jodhpur",72.7852689269,26.7472406213
"rajasthan","jaisalmer",70.8998817412,27.0737375256
"rajasthan","barmer",71.4730965807,25.7336594875
"rajasthan","jalor",72.2127032577,25.0983114977
"rajasthan","sirohi",72.7771079973,24.7615242595
