"State/Union Territories","Area covered (sq km) NP+WS+CR","No. Of National Parks (NP)","No. Of Wildlife Sanctuaries (WS)","No. Of Conservation Reserves (CR)","Area of state (sq km)","% Of protected area in state"
"Andhra Pradesh","12973.31","4","22","0","275068","4.72"
"Arunachal Pradesh","10074.6","2","11","0","83743","12.03"
"Assam","3537.89","5","20","0","78438","4.51"
"Bihar","3334.69","1","11","0","94163","3.54"
"Chhattisgarh","6348.96","3","10","0","135194","4.69"
"Goa","754.43","1","6","0","3702","20.38"
"Gujarat","16902.39","4","21","0","196024","8.62"
"Haryana","348.84","2","10","0","44212","0.79"
"Himachal Pradesh","7200.25","2","32","0","55673","12.93"
"Jammu & Kashmir","14870.22","4","15","0","222235","6.69"
"Jharkhand","2100.4","1","10","0","79714","2.63"
"Karnataka","6676.63","5","21","0","191791","3.48"
"Kerala","2701.55","6","13","0","38863","6.95"
"Madhya Pradesh","10854.48","9","25","0","308252","3.52"
"Maharashtra","15770.45","5","35","0","307690","5.13"
"Manipur","224.8","1","1","0","22327","1.01"
"Meghalaya","301.68","2","3","0","22429","1.35"
"Mizoram","1156.75","2","7","0","21081","5.49"
"Nagaland","222.37","1","3","0","16579","1.34"
"Orissa","8106.4","2","18","0","155707","5.21"
"Punjab","316.73","0","10","0","50362","0.63"
"Rajasthan","9569.16","5","23","0","342239","2.79"
"Sikkim","2177.1","1","6","0","7096","30.68"
"Tamil Nadu","2847.67","5","19","0","130058","2.19"
"Tripura","603.62","0","4","0","10486","5.76"
"Uttaranchal","6514.94","6","6","2","53485","12.18"
"Uttar Pradesh","5631.47","1","23","0","240926","2.34"
"West Bengal","2748.48","5","15","0","88752","3.09"
"Union Territories",NA,NA,NA,NA,NA,NA
"Andaman & Nicobar","1583.04","9","96","0","8249","19.19"
"Chandigarh","25.45","0","2","0","114","22.32"
"Dadra & Nagar Haveli","92.16","0","1","0","491","18.77"
"Daman & Diu","2.18","0","1","0","112","1.95"
"Delhi","13.20","0","1","0","1483","0.89"
"Lakshadweep","0.01","0","1","0","32","0.031"
"Pondicherry","0","0","0","0","493","0"
"India","156586.3","94","502","2","3287263","4.76"
